depth,size,sample,sensitivity,pcc,on_set_size
2,70,2,1.0,102.87559817884805,256
2,70,3,1.0,68.82668773673473,512
2,70,4,0.75,43.23624901253042,128
2,70,5,1.0,70.56118803155347,512
2,70,6,0.0,21.40551959128455,1024
2,70,7,1.0,102.77706362069493,256
2,70,8,1.25,43.9498944606063,640
2,70,9,1.25,49.10240324816036,640
2,70,10,1.0,68.11877995735489,512
2,70,11,1.0,68.6900295614664,192
2,70,12,1.0,103.02314138888954,256
2,70,13,0.75,43.27770775595596,128
2,70,14,1.0,39.225216139533515,768
2,70,15,1.0,68.76105597728248,192
2,70,16,1.0,65.69040182989706,512
2,70,17,1.0,102.49947515839372,256
2,70,18,1.25,47.30457067500233,640
2,70,19,1.0,69.05333869815877,512
2,80,0,0.75,43.09462869908155,128
2,80,1,1.25,47.579638735705714,640
2,80,2,0.75,24.740768688535365,896
2,80,3,1.0,68.52870156321822,512
2,80,4,1.0,102.92901356170141,256
2,80,5,1.0,104.24311603746732,256
2,80,6,1.25,92.52134249506892,384
2,80,7,1.0,36.46905708569885,768
2,80,8,1.25,92.75838418387185,384
2,80,9,1.0,67.64101805561472,512
2,80,10,1.0,69.67090611754936,512
2,80,11,1.0,103.78020815831775,256
2,80,12,0.75,42.971822328998655,128
2,80,13,1.0,35.088460860519255,768
2,80,14,1.0,69.37408453956803,192
2,80,15,1.0,102.3722547887205,256
2,80,16,1.0,104.42359024091792,256
2,80,17,1.0,37.264482677786546,768
2,80,18,1.0,67.55346659464826,512
2,80,19,1.0,67.75734817175129,512
2,90,0,1.0,38.10489945669002,768
2,90,1,1.25,92.94376341154248,384
2,90,2,0.75,28.34422921098622,896
2,90,3,1.0,102.74358014404407,256
2,90,4,1.0,67.62514275814299,512
2,90,5,1.25,93.42463789275067,384
2,90,6,1.0,34.339060607348046,768
2,90,7,1.0,70.77842117775711,512
2,90,8,1.0,63.18694063962542,512
2,90,9,1.25,43.924797668813824,640
2,90,10,1.25,91.64247808873692,384
2,90,11,1.0,68.70661842910067,512
2,90,12,1.0,38.12216546532435,768
2,90,13,1.0,102.38792151427545,256
2,90,14,1.0,103.73265264634347,256
2,90,15,1.0,37.11364149369102,768
2,90,16,1.0,38.00954873728736,768
2,90,17,1.0,102.9138732021033,256
2,90,18,1.0,30.447034261161082,832
2,90,19,1.0,68.96659046698886,512
2,100,0,1.0,67.01262310733978,512
2,100,1,1.0,35.04042254066704,768
2,100,2,1.25,93.06248482382348,384
2,100,3,1.0,37.21061288617348,768
2,100,4,1.0,103.07782765120379,256
2,100,5,1.0,36.89120352946259,768
2,100,6,1.0,35.21922413173568,768
2,100,7,0.75,43.10618154493632,128
2,100,8,0.75,43.308811663165855,128
2,100,9,0.75,26.716639198981646,896
2,100,10,1.0,34.12802785846627,768
2,100,11,1.0,35.630347148748,768
2,100,12,1.0,71.11193108218876,512
2,100,13,1.0,102.14892448331493,256
2,100,14,0.5,28.790946477986676,960
2,100,15,1.0,102.5342816523778,256
2,100,16,1.0,103.4084676077566,256
2,100,17,1.0,102.6547823323337,256
2,100,18,1.0,103.39886345720592,256
2,100,19,1.0,32.4336055773328,832
3,10,0,1.0,67.28929497759555,512
3,10,1,0.75,28.506260886697476,896
3,10,2,1.0,70.23911950678965,512
3,10,3,0.5,17.46471902262154,64
