ratio,type,score,peaks
0.05,Random,1.1626344459940239,3050
0.05,Random,1.1846894687736278,3052
0.05,Random,1.1765741101368847,3048
0.05,Random,1.2468352257450173,3038
0.05,Random,0.9967851291823634,3026
0.05,Random,1.2047903912308107,3042
0.05,Random,1.0800159219167145,3033
0.05,Random,1.1958998970365544,3059
0.05,Random,1.3320052447524129,3036
0.05,Random,1.1576954646939874,3049
0.05,Random,1.1907700278574984,3066
0.05,Random,1.2477211742077456,3028
0.05,Random,1.2939519204740664,3052
0.05,Random,1.3622435084138638,3013
0.05,Random,1.0494175680700422,3042
0.05,Random,1.1352023922256664,3059
0.05,Random,1.2843812210056178,3019
0.05,Random,1.3791038207804742,3053
0.05,Random,1.1818613364662183,3060
0.05,Random,1.1074949920437045,3045
0.05,Random,1.1642933078286992,3032
0.05,Random,1.1016965608132474,3027
0.05,Random,1.3393531412366557,3006
0.05,Random,1.283397473884796,3060
0.05,Random,1.2575939933893205,3029
0.05,Random,1.2028329702928173,3050
0.05,Random,1.2497805154495605,3023
0.05,Random,1.2479471128091866,3059
0.05,Random,1.3075760151963274,3022
0.05,Random,1.242209563645239,3035
0.05,Random,1.1183870153266093,3050
0.05,Random,1.2286273698303263,3051
0.05,Random,1.1213530453219822,3047
0.05,Random,1.2924485517946414,3040
0.05,Random,1.2405698960373959,3046
0.05,Random,1.2395631716718567,3035
0.05,Random,1.4455081582315288,3040
0.05,AES,1.327462170242764,3126
0.1,Random,0.6228110020496317,5682
0.1,Random,0.7752066638629428,5665
0.1,Random,0.6583433250816045,5729
0.1,Random,0.6673799613417861,5706
0.1,Random,0.614126563468453,5694
0.1,Random,0.7281960667015283,5681
0.1,Random,0.6550440149169531,5654
0.1,Random,0.6676000703563301,5660
0.1,Random,0.7500584004962924,5679
0.1,Random,0.6559026430378313,5682
0.1,Random,0.6111449919751474,5685
0.1,Random,0.5815227161548437,5660
0.1,Random,0.5978266172844215,5596
0.1,Random,0.6689535688105619,5676
0.1,Random,0.6413316417069527,5693
0.1,Random,0.5869605321201617,5679
0.1,Random,0.7761226900631207,5703
0.1,Random,0.5979118010285477,5671
0.1,Random,0.6152997313051225,5675
0.1,Random,0.5665333061667066,5669
0.1,Random,0.6505851143327774,5673
0.1,Random,0.6400679333396173,5712
0.1,Random,0.7646680073434854,5653
0.1,Random,0.6888418254173623,5670
0.1,Random,0.6917605821199347,5700
0.1,Random,0.6331219667538932,5668
0.1,Random,0.7230403950933753,5651
0.1,Random,0.6738679932696648,5642
0.1,Random,0.655824823214524,5651
0.1,Random,0.6948308415314025,5645
0.1,Random,0.6370752717985506,5665
0.1,Random,0.6779296677330736,5665
0.1,Random,0.7097228843018907,5700
0.1,Random,0.6479731265155163,5685
0.1,Random,0.7191009623816137,5655
0.1,Random,0.6698646632228343,5648
0.1,Random,0.5978563214861272,5667
0.1,Random,0.7213713278258537,5669
0.1,Random,0.6622390326717466,5672
0.1,Random,0.5883329505691139,5732
0.1,Random,0.6200793778667438,5627
0.1,Random,0.6516351923996047,5678
0.1,Random,0.5882753114307762,5676
0.1,Random,0.6990866461858984,5703
0.1,Random,0.6061303649949782,5680
0.1,Random,0.8378175862171232,5672
0.1,Random,0.589252005054268,5681
0.1,Random,0.7405991308210762,5703
0.1,Random,0.6740968093335293,5694
0.1,Random,0.6774654271249451,5677
0.1,Random,0.7760802945871242,5654
0.1,Random,0.6093589311479854,5696
0.1,Random,0.7452030043828938,5687
0.1,Random,0.6635898602345053,5654
0.1,Random,0.6868879113385856,5675
0.1,Random,0.6762299802037236,5665
0.1,Random,0.636734493181724,5695
0.1,Random,0.6274739911430451,5677
0.1,Random,0.6470752297798977,5676
0.1,Random,0.6704323670237594,5679
0.1,Random,0.6270247352984812,5685
0.1,Random,0.5741025191772771,5661
0.1,Random,0.6118160865964907,5671
0.1,Random,0.6932916696271981,5694
0.1,Random,0.6380359709045826,5745
0.1,Random,0.7235002389913885,5615
0.1,Random,0.6324230266748854,5712
0.1,Random,0.759457866615708,5668
0.1,Random,0.5916864388497293,5713
0.1,Random,0.7065221862820544,5689
0.1,Random,0.6679855592451021,5581
0.1,Random,0.698624973923708,5683
0.1,Random,0.6280780854140037,5701
0.1,Random,0.5396790202711697,5670
0.1,Random,0.6172450055804778,5676
0.1,Random,0.663274116389325,5620
0.1,Random,0.5713513249164041,5654
0.1,Random,0.6540142087141312,5678
0.1,Random,0.6069311877106176,5685
0.1,Random,0.6608383025781513,5666
0.1,Random,0.6743851448239091,5618
0.1,Random,0.551768495208382,5695
0.1,Random,0.6885961617339708,5688
0.1,Random,0.6225938415207977,5689
0.1,Random,0.5445408828143095,5669
0.1,Random,0.6878632549223334,5680
0.1,Random,0.719026392636338,5666
0.1,Random,0.6638479318282373,5658
0.1,Random,0.6422684381279938,5655
0.1,Random,0.6981939851007744,5696
0.1,Random,0.6348511483889178,5703
0.1,Random,0.6205394454250737,5681
0.1,Random,0.6360550176528011,5686
0.1,Random,0.6439270135177486,5733
0.1,Random,0.6811502162503829,5705
0.1,Random,0.6070293106846791,5654
0.1,Random,0.6873684294258665,5688
0.1,Random,0.7043211865141179,5659
0.1,Random,0.6344400763601364,5711
0.1,Random,0.6725306207913796,5720
0.1,AES,0.6105561489309869,5897
