date,pcc,btc_price
2018-05-30,0.0,7406.52001953125
2018-05-31,6.678973734963733e-05,7494.169921875
2018-06-01,8.196097860491136e-05,7541.4501953125
2018-06-02,0.0,7643.4501953125
2018-06-03,0.001945603477238933,7720.25
2018-06-04,0.005048725712160973,7514.47021484375
2018-06-05,0.006153258886882895,7633.759765625
2018-06-06,0.0072525839792945135,7653.97998046875
2018-06-07,0.007240347631327637,7678.240234375
2018-06-08,0.004983897305876894,7624.919921875
2018-06-09,0.005047291410011923,7531.97998046875
2018-06-10,0.0016941001919832388,6786.02001953125
2018-06-11,0.0014964096646110647,6906.919921875
2018-06-12,8.791476653868813e-05,6582.35986328125
2018-06-13,0.0010642242696832227,6349.89990234375
2018-06-14,0.0,6675.35009765625
2018-06-15,3.9936369148563244e-05,6456.580078125
